EzLADnLsNRs_30,bird wings flapping
-4kkGS4-qVM_10,playing clarinet
kyZ_wLP51ag_107,elephant trumpeting
Gd0VJ127NYc_10,people sobbing
XySWOKnenIA_0,electric grinder grinding
n0cQ9m7SXqU_135,"donkey, ass braying"
40sAH2ZB0Pg_30,playing banjo
aNkOcOCm32s_10,dog howling
CqU0IKskISI_605,playing lacrosse
nWlDkrIzc0g_530,machine gun shooting
kIYqf7kHzFU_30,people eating
Pzj3929ka4c_0,typing on typewriter
RMVwodtLI88_631,sailing
_PZZCdKz9lU_30,frog croaking
wBU6_43ofGY_70,people eating crisps
5RBELTvPwPA_21,metronome
VAqgpoyD2jc_30,playing banjo
abkHKDE-IDc_30,playing ukulele
ebD27_V9zCI_136,sheep bleating
1OFDyTzUj24_30,"male speech, man speaking"
dfwr8wgZU8M_40,car passing by
rNQ0EBdxPvM_30,using sewing machines
U9PyY8Ldf9A_5,people sneezing
GxnUY0u8fY8_30,sailing
NNconY31dlU_40,playing trumpet
mwYb2HLIAmw_30,"female speech, woman speaking"
2qg5P9IJ_9U_70,pumping water
eZGa_sYbq5A_10,ambulance siren
lYs6JuXM-34_2,popping popcorn
CTWtiwntfgw_30,fire truck siren
LC1Bw1Rgnj8_481,people battle cry
1P9yEzO1Bic_25,playing erhu
oOiwmRV1PBk_0,playing timpani
aDs6cPt4Zi4_30,mouse pattering
HaGQnzWOAUo_434,hedge trimmer running
jaXf_AlCBK4_100,arc welding
RVV2k3G6hes_14,people slapping
DAbcAA6XbfE_117,playing lacrosse
ckzLHmauwI8_30,chainsawing trees
hjupHk9jpCE_180,people burping
Xus0LI3QV2A_30,tapping guitar
nMoJVla31tc_120,splashing water
ACWNRYsyMGk_30,people finger snapping
k3uGdspoVtg_119,popping popcorn
M0YbiT8Z7d4_204,playing erhu
8QfmtF0FGA4_114,arc welding
HALbfdYE3hM_215,playing oboe
toTu8BntJPg_97,elk bugling
AedAI5HNru4_691,chipmunk chirping
c8AulW4IZVs_30,playing electronic organ
-uGHAvfqs2I_30,cat meowing
-vg8ttgP32I_18,car passing by
OrZNGml0csQ_22,car engine starting
pX0Jhk6e2Uw_30,playing trumpet
OH8urnIthoQ_60,playing electric guitar
P_utET7TCMQ_20,people babbling
49PCE6AXrGw_30,cow lowing
P02Zdk3amjk_30,baby crying
8sd513xQzV4_30,sailing
jYgUTPUi28Y_201,dinosaurs bellowing
XpYGqiG8tDc_107,mynah bird singing
6dFdcTWdues_400,playing electric guitar
a_kgbg3eDAE_66,air horn
tyFPlwM3XmM_578,playing snare drum
Ykv1CiXNXLQ_134,yodelling
mr8uEQKL1GY_161,running electric fan
Br2gA432RWo_182,playing erhu
ciVsS-oZEPc_103,elephant trumpeting
ObdJilylBPw_527,whale calling
kTflV6v77qU_43,beat boxing
ir-oBeMltLY_260,playing gong
hMRiqTGvxHc_193,playing volleyball
WoynilrteLU_30,people eating
Jix2dM4O0jQ_361,skiing
J7cctrtfYCw_200,playing tabla
hsmrvZEc_uw_150,playing electronic organ
O5IulN0n6d0_30,rapping
nDPkfJP0yp0_391,playing bongo
7ulXnnIlUOA_109,people gargling
0-jDld11jhw_93,playing cornet
AScmP_vDPhs_1,cuckoo bird calling
Hn0UhOnyeJ0_225,metronome
SUclDZHax0w_120,playing vibraphone
wlPhqJjBWLE_267,rope skipping
C_1vUaruCYI_30,ocean burbling
FgiGqzj8Hkk_30,ambulance siren
z8EU5YAMbaw_171,playing double bass
Sem8fMv0bKQ_212,people slurping
nG8nq9UVWX8_351,people slurping
9WWZUjBE5HA_79,striking pool
UypQOtbE8wg_0,bird wings flapping
QYYfs7ehzuc_126,playing lacrosse
iXFMyZm8fZY_47,forging swords
-oGJwGEsIiA_90,splashing water
6Yh7Cdm2GgY_10,playing timpani
0N3-lCzOQPI_0,frog croaking
XG1fNGITN08_400,playing theremin
NZMsQG4Zx7I_50,"subway, metro, underground"
U9o30JY6aYc_30,cap gun shooting
iotIxAR-eH8_240,bird squawking
mkIilVe2qkg_110,cricket chirping
iwQxwtjEkHQ_30,mosquito buzzing
mFZRSbjdhNg_1,barn swallow calling
0welW-8hB1c_71,black capped chickadee calling
fkJM0danKK4_30,playing zither
gAqXWyyk1BE_30,people eating
8M1EEe-K24M_63,people giggling
vUn1NaMwqjg_223,underwater bubbling
UxEyOSK9nxo_30,fire crackling
kmMPfIR46aI_123,writing on blackboard with chalk
Ymr297idqMA_260,train horning
h9vUucEhRN4_90,cat caterwauling
vwtuiXmg-ms_255,disc scratching
574LKyN1wjo_5,opening or closing car doors
I-DxUDHO_5Q_275,people battle cry
WpZnqqaDr1A_380,goose honking
RLC6BxdpsqM_150,church bell ringing
ge3cIE2a9yU_574,ripping paper
XQoTMdWSzb8_370,shot football
fL6pMyvoGVg_24,playing glockenspiel
Xq4IS3_9rQA_390,alarm clock ringing
6WPEPztf3Qw_410,playing zither
5B4fi1TAgvw_178,extending ladders
2_RltCGlGOA_10,playing piano
ILKdRNizGCs_594,people slurping
IRD6JNSw4T0_49,opening or closing car doors
QVprWKMTOz8_30,people sobbing
__X4KaLQdJk_10,sharpen knife
Ubo-gKFkdM4_30,pig oinking
BnkDQXlrIX4_240,playing sitar
xi1L3QV02cA_50,bowling impact
84psIEmkhLk_0,police radio chatter
YZRQU3bsHko_15,opening or closing car doors
bY2cN3BgPsU_140,people booing
EJIxgOSgE-E_0,"heart sounds, heartbeat"
w7rYHuTG6qI_30,fire crackling
A6p86Kp6tDE_30,raining
VlJHwd84GSo_197,people humming
jGrIgDaqDR8_210,wind noise
VgvVPVMhRGQ_350,skidding
cIFLW7R3_po_2,cupboard opening or closing
EhLPUSnX2_Q_81,playing oboe
Y8JivjKVBIg_134,"playing steel guitar, slide guitar"
MgD5JedaXGs_20,dog barking
0VOkoqNMHAc_18,extending ladders
3oYSlw6l0XA_380,typing on computer keyboard
9kIBkY7Tj5g_0,civil defense siren
CqmuLdNiEjE_77,dog growling
MW9rpgetBP0_0,frog croaking
3vLc6D64xcs_330,using sewing machines
-rqhMzJRYoc_30,people hiccup
fvIV8Wu_-Lo_129,pheasant crowing
toTu8BntJPg_17,elk bugling
7I2yJgXKncw_21,crow cawing
U6U6DxCLIqo_325,train horning
LEUkbkdBupE_4,playing castanets
qMMhRUyckDE_0,"cattle, bovinae cowbell"
iZqemiYznPQ_454,telephone bell ringing
guYWKdxrtIg_30,playing bass guitar
BXoTkN2Frl4_118,playing trombone
FHuxuM-iRo4_160,eating with cutlery
B-vU0V48gL0_30,pumping water
wGms6MZt-vU_40,people finger snapping
OAEeDczKnCA_200,vacuum cleaner cleaning floors
OCaW_fZF1e8_251,chimpanzee pant-hooting
RplzKlSlbR0_35,people booing
q4pqpYX6b7U_30,tapping guitar
QA4w3EcbBPE_387,airplane
IS5V2yjPp3k_30,people shuffling
jc1CQQpJY7Q_278,whale calling
PkV-dIbY9ic_84,playing darts
a7g3P1HGV4E_0,wind rustling leaves
zgM0pD0JIqc_0,train whistling
9ofZp-R3BlY_21,squishing water
5jPGgJQ40os_49,"cattle, bovinae cowbell"
jA-9WQtQg-Y_131,playing shofar
otb8nHcq-Oo_480,using sewing machines
ZK2rF-mQ1Qk_10,slot machine
momJJOUPFzU_17,wood thrush calling
55ISUhExonc_101,playing bass drum
BWVovghBe2c_30,playing bass guitar
neDB4I93EZI_30,"female speech, woman speaking"
WzHoMY7YQeU_644,canary calling
ywS3pG7yQfg_161,tap dancing
01j_x89dowI_481,hammering nails
Q1CMSV81_ws_30,reversing beeps
FeXZY4eVLlo_40,basketball bounce
dSzZWgbJ378_30,train horning
JgKD-nqKTlQ_21,striking pool
D9ag3OB7E4k_0,snake hissing
CoFbRc1OxFU_9,driving buses
N0d1cK2k1Eg_0,cattle mooing
nstNNjnev5k_827,playing bass drum
_WCpjcXIYzA_10,people sobbing
1ZgXgyEJSbc_390,playing tabla
kdAs1Kcttvw_30,mouse pattering
1dyFP4MGkIM_30,skidding
4lqUgzaykg8_160,eating with cutlery
4MhGEzpMaxU_30,people crowd
1uhuVsFGe6E_50,"child speech, kid speaking"
-rcoSOKo-qM_566,electric grinder grinding
m0GjXTf9Ls4_171,playing bassoon
kZ3KwoFNklY_63,people slapping
MKC9LvRivTM_30,playing french horn
9j_FItO0jt8_30,cricket chirping
-Q3MX7Tgx_E_111,cat hissing
QgoTM4RZF7o_17,chipmunk chirping
7nl6lLs3dn8_119,people humming
3qesirWAGt4_20,dog barking
BX4o_mGWmfA_160,people sobbing
1CZ-bybGzu4_30,people crowd
yFfkV9vWDRs_9,air horn
3RZlNwEv3XI_30,"rowboat, canoe, kayak rowing"
jaI41fTAM54_30,church bell ringing
5JHMkSN2rdc_74,black capped chickadee calling
Tzdtjub_HUM_60,opening or closing drawers
CpoUHOCPaNw_20,playing harp
gMDf19Ad_qA_58,people belly laughing
AF0CtMb81t8_30,dog barking
pDUm_JKSk8k_120,playing saxophone
QXnJ2manIdI_30,"female speech, woman speaking"
t-yy7v7P0IE_100,playing bass guitar
7wZzdbliyBA_443,electric grinder grinding
xV7nHX2RLjQ_153,air horn
3juGfzF29Sc_140,playing vibraphone
O3ulYoQ5EiY_30,playing sitar
jQOIioBX-bo_32,spraying water
aHx50zHbHbE_13,"playing violin, fiddle"
dzah9kCDVJs_540,hair dryer drying
Hxf1seOpijE_10,playing vibraphone
xfGXhVboW9U_50,turkey gobbling
JdEUbNpEMQ4_30,people farting
UhEQ1E8XPp4_17,chicken clucking
2k6_k7K_ixg_30,people farting
4WsPXawPBF8_5,playing drum kit
0T39A4knSu4_25,elephant trumpeting
4hl-3oay7c0_7,pumping water
jUJNETNCxh0_30,playing timpani
Mr--N4d6lIM_323,"male speech, man speaking"
0KAeUAAoVnY_186,firing muskets
N_R8C0Qfp30_290,playing clarinet
40AD_oH9eCU_30,"child speech, kid speaking"
oEDGxlhyhp4_43,train whistling
XZ5oHxjfHKY_30,people sobbing
5Fmo6UtGRAA_30,pumping water
GTo5BqlFIZk_7,airplane flyby
U8hJTpSZVWE_103,yodelling
hTAWbHXCJ2A_60,people finger snapping
DaSr6mc6TM8_140,printer printing
yIx3ml9_nsQ_60,people sneezing
VF2-Xbyvs_I_109,yodelling
zCshWxv85bE_1,warbler chirping
td4T1Yl0lB0_50,splashing water
chtrHNfaT9U_70,people belly laughing
5iTVbHhYhC4_30,crow cawing
O9sJ92Xn1jQ_30,mouse squeaking
6uB3h15H90k_102,air conditioning noise
mK_y20VBdZM_307,cell phone buzzing
MKocTMZZnTs_40,"male speech, man speaking"
TU7DNkZtG1I_109,train whistling
Nuyu78uZcVE_58,playing djembe
tkq3HREJFi8_71,playing trumpet
kxkk4w2yzbk_30,playing electronic organ
WiH7IuVJICg_20,plastic bottle crushing
UtlddariDo4_30,"cattle, bovinae cowbell"
MyjxrBI9k4o_80,playing electric guitar
O7puBCRI2Bc_30,playing flute
L9nIN8KrWfQ_61,opening or closing car electric windows
yd-zVxzkM-c_803,lip smacking
i0uH_RoDvqM_30,opening or closing drawers
1SBP-Dy8_II_119,tornado roaring
461QChXkDlA_29,running electric fan
W7EC4nQ6Qqk_10,"donkey, ass braying"
2C7SzKv2uLU_41,female singing
MhykaAoDgsI_19,air conditioning noise
KjGMB5wI-YE_0,ocean burbling
3uHd7_jU2gE_31,wind noise
viYxkl1BW9U_100,playing drum kit
DYVwPj_voRw_30,goose honking
Qe71m678qEU_30,tapping guitar
kSE2Lav5ZCs_120,goose honking
1pMMz2vm6JE_109,running electric fan
_JEe-iJYqQs_62,playing hockey
a1Dch1ez9fY_30,"cattle, bovinae cowbell"
KykQTH0dlwE_590,playing banjo
k211h3tMeGQ_60,cat caterwauling
k8lCsWaHiko_30,goose honking
YBtxdjUIF_Y_91,beat boxing
kINKoZD2m-M_93,strike lighter
y5zc-NHIipw_30,owl hooting
mW5_chAgg8c_120,playing ukulele
FfwAkXR6JMc_25,cat hissing
_dvVfWzJlDM_100,chainsawing trees
ST06L3u-WOo_240,cricket chirping
cy8lehO7nqg_30,mouse squeaking
JwngKnAg-ys_561,sea waves
l1vEAtUWXHU_34,dinosaurs bellowing
N4a0QKUEg90_278,chopping food
RGTWqZoswAo_30,playing didgeridoo
Rn55rPN_JU4_30,printer printing
SOr0nxRmf8o_130,cat growling
Kz4SvP0c_VE_19,magpie calling
sNicRCa4sTI_49,"race car, auto racing"
0c78GAZ0jLY_5,child singing
35b9UHjagaI_30,playing steelpan
eWfkC7BfP6E_30,mouse squeaking
r38dp-thzOc_206,parrot talking
8n2oR0jgQ5A_21,shot football
bln5A2hopKQ_92,playing table tennis
JzRb1OVpat0_30,playing theremin
9M3XChzFowA_38,air horn
95zxtaKQBBc_0,playing piano
_eceNIlHt4E_204,train horning
n7t58h1fwc0_168,playing cornet
6boVy5aF4kg_30,people sobbing
uyElGwaWFnI_17,dog whimpering
4q6e_ZDFOZI_30,child singing
PpK09wcJWVE_30,sailing
_Betmm6FaWo_96,writing on blackboard with chalk
PZLsTEMIuW4_2,"donkey, ass braying"
qFW6oa3jgg8_210,playing hammond organ
Za8bwlW9dNE_89,bull bellowing
9_L9CXHPd9M_100,sailing
quNBwLp5LE4_78,chopping wood
JgxnHxZXzrI_11,lighting firecrackers
0u5dddSWuj8_30,playing bagpipes
jK32YxTVs1M_13,underwater bubbling
_1k7OImLXJg_30,rope skipping
g_p6sqfaXHM_110,"bird chirping, tweeting"
zW_741B6ugQ_100,firing cannon
DkwFXd5nYLE_40,driving buses
ApIuCbTZuxc_150,playing saxophone
zbiJEml563w_30,police car (siren)
yIXMPZL2eSQ_42,cat purring
PovPsoVl7hw_45,fox barking
nfdEqi5YMjk_210,playing drum kit
3HgbEKrbA9s_54,playing double bass
NF1lwZ24RYI_30,dog barking
dMAp3dvs3kE_170,male singing
Av2DNdWzziA_35,striking pool
LFYRuK8YstI_30,playing banjo
tMXsrzj5YYA_30,playing piano
MaEBVhSzJCg_3,opening or closing car electric windows
VgwsGjRk61M_20,playing didgeridoo
A7SolJSMhEI_34,"ice cream truck, ice cream van"
EQrpQGyLR1Y_2,wind chime
QjGD_BNFt58_84,swimming
WAztA-Iqb4g_30,playing bagpipes
jb3vjhlybhE_17,police radio chatter
lDABsoatahM_0,playing cello
jzaDcRQkQEA_89,parrot talking
KdxSaA69fm8_30,singing choir
SB1dEgUQh3w_168,electric grinder grinding
-wQ8El8J_dE_30,sliding door
oj-Ck2nCkT8_24,playing guiro
aPONneIX9UE_480,opening or closing drawers
QK-mjNg8cPo_50,playing banjo
RRyiYofOuPs_30,people burping
h3cFTbRIzdY_106,hammering nails
nFa1PNr2dLA_30,helicopter
wauLTa8cx-Y_159,playing gong
7QTCtJkc2NQ_21,singing choir
fn41SZiLTUQ_83,opening or closing car electric windows
f77SKdyn-1Y_1228,sea waves
AHom7lBbtoY_30,train horning
0TuhcsOwEEs_64,skiing
K1mSyipUj38_30,singing choir
ymuNh7Cwhrs_40,dog howling
Wg2l9hxzqH4_301,dinosaurs bellowing
LYHxPsVC2i8_51,airplane
5fjy_2ajEkg_30,fire truck siren
9XuTWG0Svls_41,popping popcorn
-cA9HsnV1ao_30,hair dryer drying
CWY1Y5hjfpo_30,playing bass guitar
Pb1AZvbd0Jc_111,bull bellowing
aqhhfkXKJ1o_10,playing electric guitar
EW3ZkpsGNBA_1,wind chime
mDhMhpU2ttE_101,ripping paper
DegSrwcSF3k_30,horse neighing
n4SP34zUHu8_388,elk bugling
oa2hf1Qqy3A_281,playing volleyball
F5Pbua5Wp7A_4,cat growling
R05dToeNqng_580,lawn mowing
LRlrFudaEs8_0,"bee, wasp, etc. buzzing"
-yrglmBmErg_225,opening or closing car doors
xJFyro8qFYs_13,eletric blender running
m-FO9gFY5Go_30,people hiccup
_-ZSRcrbRGI_140,"subway, metro, underground"
6R8cO4ARzkY_30,driving motorcycle
dBSRk9afGgE_35,chinchilla barking
Ia6C4k0o2hc_20,ambulance siren
an2mZpaPTpA_410,chainsawing trees
EXhkQXpZmN8_93,playing shofar
SdeVFx40BKQ_90,playing electric guitar
ZvSaahj1hUk_29,people slapping
F7NxfNhi6kM_298,forging swords
5wIK1otb-2E_147,playing tennis
VKfgSYvbohY_42,playing oboe
pttd--gmIUY_30,fire crackling
18HRNQyo9mg_25,cat meowing
wOzgCyoi9l8_6,gibbon howling
w_JPN_jEzuw_135,writing on blackboard with chalk
AcHARmL5j-g_4,chinchilla barking
9mEfikl6mAM_29,chimpanzee pant-hooting
2FtVHJ91gDc_45,playing darts
uSRcSa1-d5o_98,parrot talking
ylNrA80r9qM_126,tornado roaring
b4oj2GJcz14_7,chipmunk chirping
BEKeSHBu9qI_340,playing saxophone
Hp-9hVWWpIw_260,ocean burbling
ccmAp6PBdDI_30,mosquito buzzing
SQfTvzvUJ6k_6,hammering nails
34vzrZ2SlQo_110,people whistling
aKWG9CWMoWo_696,mouse clicking
V7WHQs_3HJ0_3,whale calling
vConpHixES0_90,playing harmonica
BLEthZXy35s_250,"railroad car, train wagon"
aDsnFA2GDQw_153,playing cornet
LbWDdMprV5k_113,chicken clucking
VhVKUAk6_R4_6,sheep bleating
F-c6oa091zo_150,airplane
TWFlTwAIvd0_13,dog baying
A1qKwuz07ss_30,playing tabla
D9yNCDer4YM_94,electric grinder grinding
0nYltlo90Zc_161,playing congas
l13XyX-sMwk_406,lip smacking
24j8o-CcP5E_292,air conditioning noise
ZMN2Bs_Cr1A_450,basketball bounce
F4JohaJr23s_72,civil defense siren
zHmBpBw3Fnw_43,cat caterwauling
AaWkG1mi-Hc_69,"fly, housefly buzzing"
0HXYdGGKV2k_30,playing banjo
10hGfv89L3g_30,car passing by
4uihL55gcWo_28,elephant trumpeting
szZJa2XhkMM_34,strike lighter
zuqaQqmtzXs_95,playing tuning fork
ixrRVADA0Jk_104,female singing
l6HsxUNdkd4_10,cap gun shooting
MxSoqiN92v0_134,elephant trumpeting
6qX8ykNoVls_22,playing guiro
eBwcofimB3M_165,spraying water
SQfTvzvUJ6k_29,hammering nails
t1nkAcgSC3E_205,cow lowing
XMeqz20c3nI_93,canary calling
2hNEs5VCQR8_106,playing trumpet
3LLKsRSkAbE_110,"subway, metro, underground"
O-AHz1rgAi0_122,otter growling
yTbSUMpM5Ho_0,people marching
769EHEG4Mqc_0,playing didgeridoo
-JUBdOr8Hes_30,playing accordion
o8JY_sqvaQc_57,playing shofar
3tbFP_JKzXw_30,playing sitar
YjJa2bx67BY_330,playing cello
oPR7tUEUptk_30,fire truck siren
TRW3OqA1cXE_30,playing clarinet
xv3l1Blx6JQ_250,people belly laughing
amniAzV2-jM_30,people burping
o7jBSQRJzuQ_23,cat growling
Sg-8q7jJq7A_30,people whispering
ToIdgjI3u4Q_30,playing trombone
Nq-jBzkOKwA_4,opening or closing car doors
-Qowmc0P9ic_34,playing bass drum
5j-4OJ7XpDM_222,black capped chickadee calling
kY5sWKso__o_160,splashing water
a3UQ9Je4xQM_20,dog growling
GwBS2NzjAvA_30,"engine accelerating, revving, vroom"
j1PrEuMq-_M_0,typing on typewriter
NwA9JSlK_lM_30,playing banjo
5__UnpOFMZo_5,telephone bell ringing
ooi_oagj_j8_43,tap dancing
BBRDRggGsdk_147,alarm clock ringing
bX8TQimHigU_66,tornado roaring
AF7sah5a_DE_30,"playing steel guitar, slide guitar"
YFoWfT2ijhw_475,striking pool
DvOA0K-DIFM_30,tapping guitar
5gsfdVBThoI_203,playing bass drum
QpKhFTFh0B8_29,coyote howling
u7iDdlWkmAk_23,playing tambourine
1WI9921OeRc_570,people burping
f9gjQDw0I5Q_134,playing castanets
HZRJxOXw2os_207,people marching
UJktGRbJvE8_30,people shuffling
Tgb2q9H8Qok_298,"heart sounds, heartbeat"
Kp3BH28CB0U_199,playing congas
FD1LeLl1xBA_60,beat boxing
gigAXFw9yzQ_223,police radio chatter
Ckmc5j2_a9s_350,playing clarinet
WJIrkvEq4EI_30,mouse squeaking
nKFa6uSX0_k_60,baby babbling
KqSAGwa49MM_30,playing harpsichord
Lvv2W9sKXJc_302,tap dancing
FKQIdqjY9nI_200,playing bagpipes
vMQqNSEWdGM_79,opening or closing car doors
7fLnFGd79-s_56,chipmunk chirping
DZ2idjIBgKk_30,lions roaring
3C2Z0FCcuk4_25,barn swallow calling
nEYrJNAXS3E_57,playing bassoon
u40UhoSPegQ_30,cat purring
peM5etsoQhY_93,ice cracking
98DR68euGmo_79,francolin calling
KVqJ750fZmY_10,playing gong
AKxm4V3OylU_30,lions roaring
FhaYvI1yrUM_21,horse neighing
a3RfULw7aAY_0,car passing by
O-Y1CBYW0-M_40,playing bagpipes
Q1n6LAxY7uY_138,lions growling
YXaEM6goiU4_40,goose honking
AwNxh9Ogwck_30,stream burbling
Fic2Go84_k0_116,bouncing on trampoline
ryWnOaICR80_14,cat hissing
56JhihsdBXI_30,baby laughter
HA0eZ_FDVUg_50,tractor digging
XdNW5tS4u3w_14,playing tambourine
ia3opw_Vu54_54,swimming
rnWPIQBf54c_30,"cattle, bovinae cowbell"
x1x54MgStxQ_130,playing ukulele
-HMEhGV38GM_216,playing congas
M61BBJpvvx8_30,using sewing machines
2GuH1UJxQOk_19,female singing
mdC78ZNupCE_128,playing cornet
YSusDxOzgks_340,playing double bass
PyZdYCL0s5c_30,people farting
R2LpN5yc8DA_271,blowtorch igniting
zJFyokSv0Pg_44,strike lighter
X3wyXjui7ac_213,playing tympani
ph2g0DZNiZI_94,people slapping
MN-NfHbxdQE_107,playing tympani
py6G9r0fydU_30,sliding door
-z3n74RK92U_6,car engine knocking
SQWKklcMKbE_159,chinchilla barking
mHRF_-IOT2s_440,playing cymbal
yGeIkgt-Hr0_19,playing bugle
uEMANxR3vwc_338,police radio chatter
jjkB91FBcBI_119,"fly, housefly buzzing"
HzXWXYxXyYA_50,playing bass guitar
x9BtE9mcnr8_227,swimming
y2c2SzM2Mng_54,woodpecker pecking tree
wtvKeNPMwPk_66,yodelling
1cwGW0cBdRs_30,playing theremin
5HJyxDp0nLo_6,lions growling
zUxqWMvjKBw_10,driving snowmobile
VkYB3Fw4bLw_30,frog croaking
K4kl_5Sk-Bk_30,printer printing
hR6PtBiWneE_30,playing squash
7kxpD5UzNpU_170,striking pool
0m9-5BkL4Mc_30,child singing
50tgN7Vaf78_180,people crowd
NszOg5SuMt4_33,people slapping
fPV1g05NMfE_78,tap dancing
UmGzdua2Ayc_14,people belly laughing
6BXR7JlTiBQ_9,coyote howling
052VMqTM4Xs_0,"donkey, ass braying"
BE8Mv5ww4BM_171,playing hammond organ
dbunjNOhz2w_210,eating with cutlery
1QBsc_IXg8U_750,tornado roaring
E6tdua70y5E_316,people slurping
tTNZYyuU_X4_30,people running
etmmUjsRNRs_30,playing acoustic guitar
jpEcGnA4tco_322,barn swallow calling
OmvNQtdaX1A_40,orchestra
KL0x2wC-vF0_0,playing trumpet
de8skUrbdUc_30,cricket chirping
2KNJPTMMD4s_272,ripping paper
Ce2fbtvF_TI_136,playing glockenspiel
30jlal45IKo_97,cat hissing
QymYi-QzlJo_80,playing vibraphone
CMCtge02AnU_260,playing hammond organ
dnQvS3jATno_150,duck quacking
Rp39_WnX5Fk_380,"subway, metro, underground"
d-qCd8Src3E_839,striking pool
nqsycWEgIio_209,parrot talking
PRbUBKp5wuc_107,elk bugling
6FUmapkqPn0_80,cat caterwauling
fPiRBxijEok_694,lip smacking
ew1epjgvuQM_30,people shuffling
eGheWZgpYqs_60,people hiccup
_AhsSM_70wg_29,parrot talking
Dqv8aWzOgmo_49,whale calling
QyGfqIKBGFE_5,shot football
LIU7EYJEbYQ_10,driving buses
KxzuJRh9GaQ_30,owl hooting
23HYypV2gcM_590,"child speech, kid speaking"
when3v7NVFk_0,train horning
hBQFoDI3NMI_30,tapping guitar
VCWoxeOUJzc_11,"alligators, crocodiles hissing"
ZRXUru_3Big_112,electric grinder grinding
hIqYFdJ9v0o_30,"pigeon, dove cooing"
IuvZlJaF4Go_30,goat bleating
3kaCL9Zu7NY_230,playing zither
Orge4_UlvNI_280,playing sitar
6ZDqSPh5u20_22,people eating apple
LmtgH_KHgX8_80,eating with cutlery
5kYUTCJSmAU_191,spraying water
-hYRFCQdbLg_30,playing steelpan
Jv6rpwJ7bgc_30,playing clarinet
ybVxvQg1M4Y_196,rope skipping
cbieKCgNvvU_200,playing flute
rA-2spZVK7Y_30,car engine knocking
dYea6bmdaSY_40,opening or closing drawers
6tRfYp-9YcE_106,sea lion barking
zKosdLJ5k3s_0,barn swallow calling
EW1Jk7-DIO0_30,duck quacking
cM_VbOBRWK8_0,playing harmonica
C5enZKUmB4k_30,lawn mowing
IiCNAp2sR9c_30,singing choir
pb1RbeEwwmc_5,playing congas
zfUTuz6G6R8_229,people eating apple
IiAg9FMM8sQ_20,playing accordion
fnj0Bhpamqo_115,squishing water
KfzH17TqnpE_248,cutting hair with electric trimmers
9-9mhVrDiQA_329,arc welding
bMYhXjEJl_8_70,ocean burbling
KZFD1lRFNaw_168,hammering nails
